player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
liolio1230,1167529,Emulator,DAS+Tap,Claim,999999,Has screenshot of all-maxout leaderboard. Has screenshot of all-maxout leaderboard,,1640805499409,Hydrantdude
liolio1230,1075278,Emulator,DAS+Tap,Video,999999,Has screenshot of all-maxout leaderboard. Has screenshot of all-maxout leaderboard,,1657839834248,Hydrantdude
liolio1230,1214911,Emulator,DAS+Tap,Claim,1075278,Has Image of all-maxout leaderboard. Has Image of all-maxout leaderboard,,1660573308404,NerdTheBox
Ben Mullen,1177147,Console,DAS,Video,1177147,,,1587398624074,Hydrantdude
Fush the Cube,1132191,Emulator,Tap,Video,,,,1621867669792,Cool Iceage
Fush the Cube,1193160,Emulator,Tap,Video,,,,1637153077538,NerdTheBox
Fush the Cube,1218280,Emulator,Tap,Video,1218280,,,1644750899923,Hydrantdude
FCS_Resent,1125453,Emulator,DAS+Tap,Image,1044060,,,1652050819008,NerdTheBox
Luís_tetris,1100659,Emulator,Tap,Video,,,,1612902854561,DTFPS
Luís_tetris,1139677,Emulator,Tap,Image,,,,1614001906707,Hydrantdude
Luís_tetris,1193734,Emulator,Tap,Video,,History Viewer,,1617640858593,Cool Iceage
Luís_tetris,1207818,Emulator,Tap,Video,,History Viewer,,1625427079528,Hydrantdude
Luís_tetris,1233914,Emulator,Tap,Video,,History Viewer,,1625940742640,Hydrantdude
Luís_tetris,1234540,Console,Tap,Video,,achieved live in CTWC 2021,,1633814159921,NerdTheBox
Luís_tetris,1304569,Console,Tap,Partial Video,1304569,179 lines+,,1636209486436,Hydrantdude
Luís_tetris,1362240,Console,Roll,Video+,1362240,19 start,https://clipchamp.com/watch/qB0MynF3Jyl,1664003060402,Hydrantdude
Luís_tetris,1535560,Console,Roll,Image,1362240,,,1672182694172,Bunny Boing
Luís_tetris,1569400,Console,Roll,Image,1362240,,,1674923350134,algebruh
AstatineEffect,1103024,Console,Tap,Partial Video,,,,1589571885917,Hydrantdude
AstatineEffect,1136422,Console,Tap,Partial Video,,lv24+,,1591926034807,Hydrantdude
AstatineEffect,1220064,Console,Tap,Image,,. 1168470 video PB,,1600910789523,Hydrantdude
AstatineEffect,1264796,Console,Tap,Video,1264796,,,1609146912523,Hydrantdude
lmao zedong,1118866,Console,DAS+Tap,Image,,,,1611000907392,Petr Verner
lmao zedong,1191180,Console,Tap,Video,,,,1624294967243,Cool Iceage
lmao zedong,1240420,Console,Tap,Video,,,,1636209238846,Hydrantdude
Pollo,1122440,Console,Tap,Claim,,,,1658871673222,NerdTheBox
Pollo,1129440,Console,Tap,Video+,1129440,,,1667442901843,Hydrantdude
Pollo,1156160,Console,Tap,Image,1129440,,,1668281810459,algebruh
Pollo,1181840,Console,DAS,Image,1129440,,,1673395875409,Bunny Boing
Deewee,1119930,Console,Tap,Image,,,,1635882283198,NerdTheBox
Deewee,1149160,Console,Tap,Video,,,,1641787845828,Hydrantdude
Deewee,1191120,Console,Tap,Image,,,,1645099537317,NerdTheBox
Deewee,1204820,Console,Tap,Image,,,,1645821392461,Hydrantdude
Deewee,1246040,Console,Tap,Image,,,,1647345173015,NerdTheBox
Deewee,1182580,Console,Tap,Video,,,,1657834339403,Hydrantdude
